,Name,%,Price,Rating,Release,Ends,Started
137,Hearts of Iron 2 Complete,-75%,"R$ 13,49",81.41%,Jan 2006,in 4 days,10 days ago
138,Fae Tactics,-70%,"R$ 11,39",81.34%,Jul 2020,in 17 hours,6 days ago
139,King Arthur: Knight's Tale,-60%,"R$ 48,79",81.30%,Apr 2022,in 4 days,10 days ago
140,SpellForce 3 Soul Harvest,-80%,"R$ 7,59",81.25%,May 2019,in 13 days,yesterday
141,Temtem,-60%,"R$ 53,99",80.77%,Sep 2022,in 17 hours,6 days ago
142,Magicka 2,-75%,"R$ 13,49",80.65%,May 2015,in 4 days,10 days ago
143,Mechanic Escape,-80%,"R$ 2,49",80.64%,Apr 2014,in 8 days,6 days ago
144,Across the Obelisk,-50%,"R$ 35,99",80.59%,Apr 2021,in 4 days,10 days ago
145,Zombie Party,-80%,"R$ 4,13",80.37%,Jun 2016,in 8 days,6 days ago
146,Europa Universalis III Complete,-70%,"R$ 16,19",80.19%,Jan 2007,in 4 days,10 days ago
147,Knights of Pen and Paper +1 Edition,-75%,"R$ 8,99",79.98%,Jun 2013,in 4 days,10 days ago
148,Revita,-50%,"R$ 19,99",79.66%,—,in 8 days,6 days ago
149,Flynn: Son of Crimson,-60%,"R$ 23,99",79.55%,Sep 2021,in 17 hours,6 days ago
150,Wildfire,-60%,"R$ 11,59",78.74%,May 2020,in 17 hours,6 days ago
151,Age of Wonders III,-75%,"R$ 26,99",78.63%,Mar 2014,in 4 days,10 days ago
152,Age of Wonders: Planetfall,-66%,"R$ 36,71",78.06%,Aug 2019,in 4 days,10 days ago
153,Finding Teddy,-80%,"R$ 2,79",77.73%,Dec 2013,in 8 days,6 days ago
154,Staxel,-75%,"R$ 9,24",77.24%,Apr 2019,in 17 hours,6 days ago
155,HOT WHEELS UNLEASHED™,-85%,"R$ 29,92",76.39%,Sep 2021,in 13 days,yesterday
156,Hotel Renovator,-50%,"R$ 44,95",76.26%,Mar 2023,in 5 days,2 days ago
157,Hellslave,-75%,"R$ 11,49",75.97%,May 2022,in 8 days,6 days ago
158,Aegis Defenders,-75%,"R$ 9,24",75.59%,Feb 2018,in 17 hours,6 days ago
159,Watch_Dogs™,-85%,"R$ 14,24",75.43%,May 2014,in 17 hours,6 days ago
160,Hearts of Iron III,-75%,"R$ 8,99",75.10%,Aug 2009,in 4 days,10 days ago
161,Nanotale - Typing Chronicles,-60%,"R$ 18,39",74.95%,Mar 2021,in 8 days,6 days ago
162,Age of Wonders,-75%,"R$ 5,49",74.90%,—,in 4 days,10 days ago
163,SpellForce 3 Reforced,-80%,"R$ 15,09",74.60%,Dec 2017,in 13 days,yesterday
164,Cities in Motion,-50%,"R$ 35,99",73.51%,Feb 2011,in 4 days,10 days ago
165,Vampire: The Masquerade - Shadows of New York,-80%,"R$ 5,37",73.25%,Sep 2020,in 8 days,6 days ago
166,Popup Dungeon,-60%,"R$ 18,99",72.88%,Aug 2020,in 17 hours,6 days ago
167,Steel Division: Normandy 44,-66%,"R$ 24,47",72.77%,May 2017,in 4 days,10 days ago
168,NeuroVoider,-75%,"R$ 8,49",72.57%,Aug 2016,in 8 days,6 days ago
169,SpellForce 2 - Anniversary Edition,-80%,"R$ 4,99",72.47%,Oct 2009,in 13 days,yesterday
170,Internet Cafe Simulator 2,-60%,"R$ 23,99",72.25%,Jan 2022,in 7 days,7 days ago
171,DRIFT CE,-50%,"R$ 49,50",71.15%,Jun 2021,in 17 hours,6 days ago
172,Vampire: The Masquerade - Coteries of New York,-90%,"R$ 3,79",70.79%,Dec 2019,in 8 days,6 days ago
173,Surviving the Aftermath,-70%,"R$ 32,39",69.38%,Nov 2021,in 4 days,10 days ago
174,Wurm Unlimited,-75%,"R$ 27,49",69.36%,Oct 2015,in 8 days,6 days ago
175,Belladonna,-75%,"R$ 3,62",69.16%,Feb 2015,in 8 days,6 days ago
176,Majesty 2,-75%,"R$ 8,99",67.49%,Sep 2009,in 4 days,10 days ago
177,Warlock 2: The Exiled,-75%,"R$ 17,99",67.18%,Apr 2014,in 4 days,10 days ago
178,King Arthur - The Role-playing Wargame,-75%,"R$ 8,99",66.84%,Nov 2009,in 4 days,10 days ago
179,Souldiers,-65%,"R$ 16,09",65.54%,Jun 2022,in 8 days,6 days ago
180,WRC 5 FIA World Rally Championship,-90%,"R$ 2,06",65.34%,Oct 2015,in 8 days,6 days ago
181,Victoria 3,-76%,"R$ 43,19",65.08%,Oct 2022,in 4 days,10 days ago
182,NECROPOLIS: BRUTAL EDITION,-75%,"R$ 26,99",63.76%,—,in 4 days,10 days ago
183,A Game of Dwarves,-75%,"R$ 8,99",61.53%,Oct 2012,in 4 days,10 days ago
184,Euro Truck Simulator 2,-75%,"R$ 15,49",96.61%,Oct 2012,in 11 days,3 days ago
185,Slay the Spire,-66%,"R$ 25,49",96.55%,Jan 2019,in 10 days,4 days ago
